date,sym,spot,open,close
2019-12-02,AACG,1.8,1.8,1.8
2019-12-03,AACG,1.84,1.84,1.84
2019-12-04,AACG,1.79,1.7595,1.7595
2019-12-05,AACG,1.73,1.69,1.69
2019-12-06,AACG,1.72,1.6,1.6
2019-12-09,AACG,1.62,1.6315,1.6315
2019-12-10,AACG,1.61,1.5401,1.5401
2019-12-11,AACG,1.52,1.52,1.52
2019-12-12,AACG,1.47,1.35,1.35
2019-12-16,AACG,1.45,1.52,1.52
2019-12-17,AACG,1.51,1.5,1.5
2019-12-18,AACG,1.47,1.6,1.6
2019-12-19,AACG,1.59,1.68,1.68
2019-12-20,AACG,1.5048,1.58,1.58
2019-12-23,AACG,1.4405,1.515,1.515
2019-12-24,AACG,1.45,1.4101,1.4101
2019-12-26,AACG,1.48,1.47,1.47
2019-12-27,AACG,1.45,1.45,1.45
2019-12-30,AACG,1.42,1.4,1.4
2019-12-31,AACG,1.37,1.41,1.41
2019-12-02,AAL,28.87,28.58,28.58
2019-12-03,AAL,28,27.315,27.315
2019-12-04,AAL,27.5,27.49,27.49
2019-12-05,AAL,27.45,27.1,27.1
2019-12-06,AAL,27.41,27.6337,27.6337
2019-12-09,AAL,27.7,27.73,27.73
2019-12-10,AAL,27.36,27.61,27.61
2019-12-11,AAL,27.09,26.87,26.87
2019-12-12,AAL,27,27.95,27.95
2019-12-13,AAL,28.01,27.53,27.53
2019-12-16,AAL,27.58,28.24,28.24
2019-12-17,AAL,27.61,28.2799,28.2799
2019-12-18,AAL,28.3,28.19,28.19
2019-12-19,AAL,28,28.1605,28.1605
2019-12-20,AAL,28.61,28.8232,28.8232
2019-12-23,AAL,29.14,29.575,29.575
2019-12-24,AAL,29.4899,29.355,29.355
2019-12-26,AAL,29.3,29.35,29.35
2019-12-27,AAL,29.83,28.835,28.835
2019-12-30,AAL,28.41,28.305,28.305
2019-12-31,AAL,28.3,28.34,28.34
2019-12-03,AAME,1.48,1.72,1.72
2019-12-04,AAME,1.8,1.8,1.8
2019-12-05,AAME,1.7,1.69,1.69
2019-12-09,AAME,1.99,2,2
2019-12-10,AAME,2,1.7519,1.7519
2019-12-11,AAME,2,1.76,1.76
2019-12-12,AAME,2.11,2.11,2.11
2019-12-13,AAME,1.92,2.02,2.02
2019-12-16,AAME,1.78,1.83,1.83
2019-12-17,AAME,1.7999,1.8,1.8
2019-12-18,AAME,1.83,1.8,1.8
2019-12-19,AAME,1.87,1.88,1.88
2019-12-20,AAME,2.006,2.006,2.006
2019-12-23,AAME,1.9299,1.8986,1.8986
2019-12-24,AAME,1.89,1.869,1.869
2019-12-26,AAME,1.77,1.77,1.77
2019-12-27,AAME,1.9,1.9,1.9
2019-12-30,AAME,1.85,1.85,1.85
2019-12-31,AAME,1.93,1.9,1.9
2019-12-02,AAOI,10.7,10.4,10.4
2019-12-03,AAOI,10.43,10.17,10.17
2019-12-04,AAOI,10.41,10.5202,10.5202
2019-12-05,AAOI,10.48,10.52,10.52
2019-12-06,AAOI,10.43,10.57,10.57
2019-12-09,AAOI,10.34,10.3,10.3
2019-12-10,AAOI,10.3,10.37,10.37
2019-12-11,AAOI,10.28,10.66,10.66
2019-12-12,AAOI,10.92,11.2301,11.2301
2019-12-13,AAOI,11.67,11.145,11.145
2019-12-16,AAOI,11,11.195,11.195
2019-12-17,AAOI,11.2,11.42,11.42
2019-12-18,AAOI,11.27,11.1345,11.1345
2019-12-19,AAOI,11.16,11.35,11.35
2019-12-20,AAOI,11.3,11.14,11.14
2019-12-23,AAOI,11.17,11.0543,11.0543
2019-12-24,AAOI,11.12,11.05,11.05
2019-12-26,AAOI,11.05,11.1484,11.1484
2019-12-27,AAOI,11.65,11.8189,11.8189
2019-12-30,AAOI,11.52,11.45,11.45
2019-12-31,AAOI,11.56,11.67,11.67
2019-12-02,AAON,49.26,48.505,48.505
2019-12-03,AAON,48.15,48.33,48.33
2019-12-04,AAON,47.85,48.75,48.75
2019-12-05,AAON,48.49,48.77,48.77
2019-12-06,AAON,49.61,50.3,50.3
2019-12-09,AAON,50.3,50.365,50.365
2019-12-10,AAON,49.49,49.23,49.23
2019-12-11,AAON,48.94,49.09,49.09
2019-12-12,AAON,49.55,50.5601,50.5601
2019-12-13,AAON,50.28,49.83,49.83
2019-12-16,AAON,50.4,49.96,49.96
2019-12-17,AAON,49.26,49.98,49.98
2019-12-18,AAON,50,49.39,49.39
2019-12-19,AAON,49.93,49.22,49.22
2019-12-20,AAON,49.57,49.87,49.87
2019-12-23,AAON,50.02,49.4,49.4
2019-12-24,AAON,49.92,49.685,49.685
2019-12-26,AAON,49.91,49.86,49.86
2019-12-27,AAON,49.99,49.755,49.755
2019-12-30,AAON,49.7,49.39,49.39
2019-12-31,AAON,49.39,49.74,49.74
2019-12-02,AAPL,269,264.01,264.01
2019-12-03,AAPL,264.38,256.77,256.77
2019-12-04,AAPL,261.15,262.2247,262.2247
2019-12-05,AAPL,262.45,263.68,263.68
2019-12-06,AAPL,266.6,269.39,269.39
2019-12-09,AAPL,269.85,269.46,269.46
2019-12-10,AAPL,265.25,269.9,269.9
2019-12-11,AAPL,268.6,269.5011,269.5011
2019-12-12,AAPL,270.97,270.8609,270.8609
2019-12-13,AAPL,273.41,272.777,272.777
2019-12-16,AAPL,276.5,279.7559,279.7559
2019-12-17,AAPL,279.67,281.0712,281.0712
2019-12-18,AAPL,280.76,279.67,279.67
2019-12-19,AAPL,279.5,279.6,279.6
2019-12-20,AAPL,280.02,281.49,281.49
2019-12-23,AAPL,280.3,282.84,282.84
2019-12-24,AAPL,284.9,284.2106,284.2106
2019-12-26,AAPL,284.89,287.4894,287.4894
2019-12-27,AAPL,290.75,291.27,291.27
2019-12-30,AAPL,289.78,287.56,287.56
2019-12-31,AAPL,291,291.244,291.244
2019-12-02,AAWW,26.06,25.97,25.97
2019-12-03,AAWW,24.77,24.54,24.54
2019-12-04,AAWW,24.96,25.3,25.3
2019-12-05,AAWW,24.9,24.88,24.88
2019-12-06,AAWW,25.02,25.61,25.61
2019-12-09,AAWW,25.89,26.475,26.475
2019-12-10,AAWW,26.6,26.71,26.71
2019-12-11,AAWW,26.35,26.29,26.29
2019-12-12,AAWW,26.69,27.75,27.75
2019-12-13,AAWW,28.26,27.59,27.59
2019-12-16,AAWW,28,28.361,28.361
2019-12-17,AAWW,27.94,28.11,28.11
2019-12-18,AAWW,28.52,27.83,27.83
2019-12-19,AAWW,27.34,28.26,28.26
2019-12-20,AAWW,28.07,27.79,27.79
2019-12-23,AAWW,27.66,27.356,27.356
2019-12-24,AAWW,27.4,27.26,27.26
2019-12-26,AAWW,27.37,27.31,27.31
2019-12-27,AAWW,27.87,27.57,27.57
2019-12-30,AAWW,26.94,26.89,26.89
2019-12-31,AAWW,26.45,27.085,27.085
2019-12-02,AAXJ,69.72,69.41,69.41
2019-12-03,AAXJ,69.25,68.66,68.66
2019-12-04,AAXJ,69.34,69.5,69.5
2019-12-05,AAXJ,69.53,69.64,69.64
2019-12-06,AAXJ,70.17,70.15,70.15
2019-12-09,AAXJ,70.06,70.085,70.085
2019-12-10,AAXJ,69.78,70.1,70.1
2019-12-11,AAXJ,70.46,70.57,70.57
2019-12-12,AAXJ,71.22,72.12,72.12
2019-12-13,AAXJ,72.99,72.38,72.38
2019-12-16,AAXJ,71.82,72.105,72.105
2019-12-17,AAXJ,72.57,72.615,72.615
2019-12-18,AAXJ,72.85,72.85,72.85
2019-12-19,AAXJ,72.55,72.6799,72.6799
2019-12-20,AAXJ,72.96,73.02,73.02
2019-12-23,AAXJ,72.96,72.925,72.925
2019-12-24,AAXJ,72.88,72.83,72.83
2019-12-26,AAXJ,73.1,73.22,73.22
2019-12-27,AAXJ,73.82,73.72,73.72
2019-12-30,AAXJ,73.86,73.54,73.54
2019-12-31,AAXJ,73.26,73.25,73.25
2019-12-02,AAXN,74.14,74.13,74.13
2019-12-05,AAXN,71.51,73.25,73.25
2019-12-06,AAXN,73.58,73.71,73.71
2019-12-11,AAXN,72.68,72.25,72.25
2019-12-18,AAXN,71.1201,71.44,71.44
2019-12-19,AAXN,69.84,69.865,69.865
2019-12-24,AAXN,72.44,72.63,72.63
2019-12-26,AAXN,73.16,73.37,73.37
2019-12-31,AAXN,70.13,73.38,73.38
2019-12-02,ABCB,43.87,43.36,43.36
2019-12-03,ABCB,42.91,42.33,42.33
2019-12-04,ABCB,42.97,43.37,43.37
2019-12-05,ABCB,43.33,43.51,43.51
2019-12-06,ABCB,43.8,43.73,43.73
2019-12-09,ABCB,43.14,43.42,43.42
2019-12-10,ABCB,43.34,43.535,43.535
2019-12-11,ABCB,43.37,43.02,43.02
2019-12-12,ABCB,43.39,44.225,44.225
2019-12-13,ABCB,44.3,43.85,43.85
2019-12-16,ABCB,44.39,44.54,44.54
2019-12-17,ABCB,44.66,44.13,44.13
2019-12-18,ABCB,44.52,44.19,44.19
2019-12-19,ABCB,43.65,43.6002,43.6002
2019-12-20,ABCB,43.99,43.56,43.56
2019-12-23,ABCB,43.44,42.86,42.86
2019-12-24,ABCB,43.2,43.17,43.17
2019-12-26,ABCB,43.32,43.27,43.27
2019-12-27,ABCB,43.15,42.69,42.69
2019-12-30,ABCB,42.55,42.83,42.83
2019-12-31,ABCB,42.53,42.62,42.62
2019-12-02,ABEO,3.5,3.16,3.16
2019-12-03,ABEO,3.7,3.445,3.445
2019-12-04,ABEO,3.5,3.09,3.09
2019-12-05,ABEO,2.96,2.905,2.905
2019-12-06,ABEO,2.85,2.73,2.73
2019-12-09,ABEO,3.1,3.1967,3.1967
2019-12-10,ABEO,2.82,3.06,3.06
2019-12-11,ABEO,3.45,3.5099,3.5099
2019-12-12,ABEO,4.02,3.84,3.84
2019-12-13,ABEO,4.0399,3.8972,3.8972
2019-12-16,ABEO,3.7,3.71,3.71
2019-12-17,ABEO,4.2001,3.98,3.98
2019-12-18,ABEO,4,4.08,4.08
2019-12-19,ABEO,3.98,4.39,4.39
2019-12-20,ABEO,3.78,3.275,3.275
2019-12-23,ABEO,3.2,3.58,3.58
2019-12-24,ABEO,3.64,3.585,3.585
2019-12-26,ABEO,3.6,3.61,3.61
2019-12-27,ABEO,3.6,3.54,3.54
2019-12-30,ABEO,3.49,3.27,3.27
2019-12-31,ABEO,3.49,3.42,3.42
2019-12-02,ABIO,5.53,5.65,5.65
2019-12-03,ABIO,5.25,5.3856,5.3856
2019-12-04,ABIO,5.36,5.411,5.411
2019-12-05,ABIO,5.41,5.4595,5.4595
2019-12-06,ABIO,5.45,5.45,5.45
2019-12-09,ABIO,5.35,5.29,5.29
2019-12-10,ABIO,5.35,5.38,5.38
2019-12-11,ABIO,5.27,5.35,5.35
2019-12-12,ABIO,5.29,5.4034,5.4034
2019-12-13,ABIO,5.27,5.3297,5.3297
2019-12-16,ABIO,5.26,5.28,5.28
2019-12-17,ABIO,5.47,5.45,5.45
2019-12-18,ABIO,5.72,5.67,5.67
2019-12-19,ABIO,5.53,5.45,5.45
2019-12-20,ABIO,5.59,5.5782,5.5782
2019-12-23,ABIO,5.83,5.707,5.707
2019-12-24,ABIO,6.2,5.98,5.98
2019-12-26,ABIO,6.0474,5.8541,5.8541
2019-12-27,ABIO,5.7,5.609,5.609
2019-12-30,ABIO,5.75,5.5207,5.5207
2019-12-31,ABIO,5.6,5.56,5.56
2019-12-02,ABMD,196.18,190.81,190.81
2019-12-03,ABMD,189.85,190.9561,190.9561
2019-12-04,ABMD,193.24,189.83,189.83
2019-12-05,ABMD,194.04,191.5,191.5
2019-12-06,ABMD,191.08,187.795,187.795
2019-12-09,ABMD,189.3,184.865,184.865
2019-12-10,ABMD,182.16,182.74,182.74
2019-12-11,ABMD,179.53,179.33,179.33
2019-12-12,ABMD,179.27,179.33,179.33
2019-12-13,ABMD,179.18,178.18,178.18
2019-12-16,ABMD,179.9998,174.79,174.79
2019-12-17,ABMD,176.3,176.47,176.47
2019-12-18,ABMD,179.85,179.74,179.74
2019-12-19,ABMD,176,171.975,171.975
2019-12-20,ABMD,169.43,164.065,164.065
2019-12-23,ABMD,163.45,167.52,167.52
2019-12-24,ABMD,171.33,172.885,172.885
2019-12-26,ABMD,172.3,171.5416,171.5416
2019-12-27,ABMD,169.695,170.935,170.935
2019-12-30,ABMD,169,168.155,168.155
2019-12-31,ABMD,167.5,169.6,169.6
2019-12-06,ABTX,36.25,36.495,36.495
2019-12-09,ABTX,36.45,36.63,36.63
2019-12-11,ABTX,36.8,36.66,36.66
2019-12-16,ABTX,37.2,37.62,37.62
2019-12-19,ABTX,37.99,37.91,37.91
2019-12-23,ABTX,37.91,37.81,37.81
2019-12-02,ABUS,1.67,1.6311,1.6311
2019-12-03,ABUS,1.58,1.64,1.64
2019-12-04,ABUS,2.04,2.3,2.3
2019-12-05,ABUS,2.2,2.26,2.26
2019-12-06,ABUS,2.23,2.32,2.32
2019-12-09,ABUS,2.33,2.28,2.28
2019-12-10,ABUS,2.39,2.33,2.33
2019-12-11,ABUS,2.36,2.3769,2.3769
2019-12-12,ABUS,2.41,2.435,2.435
2019-12-13,ABUS,2.38,2.37,2.37
2019-12-16,ABUS,2.34,2.295,2.295
2019-12-17,ABUS,2.24,2.24,2.24
2019-12-18,ABUS,2.27,2.23,2.23
2019-12-19,ABUS,2.27,2.23,2.23
2019-12-20,ABUS,2.25,2.28,2.28
2019-12-23,ABUS,2.78,2.56,2.56
2019-12-24,ABUS,2.79,2.7459,2.7459
2019-12-26,ABUS,2.76,2.6683,2.6683
2019-12-27,ABUS,2.6,2.5,2.5
2019-12-30,ABUS,2.5,2.55,2.55
2019-12-31,ABUS,2.73,2.8,2.8
2019-12-02,ACAD,45.5,45.0692,45.0692
2019-12-03,ACAD,45.4,45.66,45.66
2019-12-04,ACAD,45.44,44.435,44.435
2019-12-05,ACAD,49.01,51.3421,51.3421
2019-12-06,ACAD,50.5,51.67,51.67
2019-12-09,ACAD,51.45,49.525,49.525
2019-12-10,ACAD,47.93,47.72,47.72
2019-12-11,ACAD,47.4699,45.57,45.57
2019-12-12,ACAD,44.9701,44.44,44.44
2019-12-13,ACAD,44.76,44.555,44.555
2019-12-16,ACAD,44.55,45.92,45.92
2019-12-17,ACAD,46.1999,46.53,46.53
2019-12-18,ACAD,46.19,42.615,42.615
2019-12-19,ACAD,43.51,44.84,44.84
2019-12-20,ACAD,43.75,44.39,44.39
2019-12-23,ACAD,45.1,44.23,44.23
2019-12-24,ACAD,44.37,44.97,44.97
2019-12-26,ACAD,45.81,44.96,44.96
2019-12-27,ACAD,45.36,44.9533,44.9533
2019-12-30,ACAD,44,43.09,43.09
2019-12-31,ACAD,43,42.4114,42.4114
2019-12-05,ACAM,9.93,9.93,9.93
2019-12-09,ACAM,9.92,9.92,9.92
2019-12-12,ACAM,9.9,9.9,9.9
2019-12-13,ACAM,9.94,9.94,9.94
2019-12-17,ACAM,9.956,9.96,9.96
2019-12-19,ACAM,9.99,9.99,9.99
2019-12-20,ACAM,10,9.99,9.99
2019-12-31,ACAM,10.02,10.02,10.02
2019-12-02,ACAMU,10.12,10.12,10.12
2019-12-05,ACAMU,10.19,10.19,10.19
2019-12-06,ACAMU,10.19,10.1,10.1
2019-12-23,ACAMU,10.1789,10.1789,10.1789
2019-12-18,ACAMW,0.7,0.7,0.7
2019-12-24,ACAMW,0.7,0.7,0.7
2019-12-27,ACAMW,0.53,0.53,0.53
2019-12-30,ACAMW,0.7,0.7,0.7
2019-12-02,ACBI,19.01,18.81,18.81
2019-12-03,ACBI,18.56,18.33,18.33
2019-12-04,ACBI,18.47,18.62,18.62
2019-12-05,ACBI,18.71,18.67,18.67
2019-12-06,ACBI,18.87,18.895,18.895
2019-12-09,ACBI,18.73,18.81,18.81
2019-12-10,ACBI,18.76,18.85,18.85
2019-12-11,ACBI,18.81,18.8,18.8
2019-12-12,ACBI,18.93,19.145,19.145
2019-12-13,ACBI,18.92,18.78,18.78
2019-12-16,ACBI,19.11,18.96,18.96
2019-12-17,ACBI,18.97,18.86,18.86
2019-12-18,ACBI,18.99,18.875,18.875
2019-12-19,ACBI,18.92,18.88,18.88
2019-12-20,ACBI,18.95,18.95,18.95
2019-12-23,ACBI,18.92,18.82,18.82
2019-12-24,ACBI,18.59,18.62,18.62
2019-12-26,ACBI,18.67,18.69,18.69
2019-12-27,ACBI,18.6,18.43,18.43
2019-12-30,ACBI,18.29,18.36,18.36
2019-12-31,ACBI,18.25,18.37,18.37
2019-12-02,ACER,3.43,3.46,3.46
2019-12-03,ACER,3.46,3.53,3.53
2019-12-04,ACER,3.51,3.6,3.6
2019-12-05,ACER,3.62,3.63,3.63
2019-12-06,ACER,3.6,3.69,3.69
2019-12-09,ACER,3.75,4.05,4.05
2019-12-10,ACER,3.89,3.83,3.83
2019-12-11,ACER,3.65,3.89,3.89
2019-12-12,ACER,3.92,3.7101,3.7101
2019-12-13,ACER,3.68,3.63,3.63
2019-12-16,ACER,3.66,3.6574,3.6574
2019-12-18,ACER,4.15,4.09,4.09
2019-12-19,ACER,4.06,3.96,3.96
2019-12-20,ACER,3.97,3.7836,3.7836
2019-12-23,ACER,3.85,3.89,3.89
2019-12-24,ACER,3.89,3.95,3.95
2019-12-26,ACER,4,3.91,3.91
2019-12-27,ACER,3.94,3.92,3.92
2019-12-30,ACER,3.83,3.68,3.68
2019-12-02,ACGL,42.01,41.69,41.69
2019-12-03,ACGL,41.41,40.95,40.95
2019-12-04,ACGL,40.58,41.1,41.1
2019-12-05,ACGL,41.04,41.11,41.11
2019-12-06,ACGL,41.52,41.35,41.35
2019-12-09,ACGL,41.07,41.41,41.41
2019-12-10,ACGL,41.49,41.24,41.24
2019-12-11,ACGL,41.04,40.88,40.88
2019-12-12,ACGL,41.05,41.45,41.45
2019-12-13,ACGL,41.54,41.41,41.41
2019-12-16,ACGL,41.8,41.78,41.78
2019-12-17,ACGL,42.16,42.1544,42.1544
2019-12-18,ACGL,42.59,42.365,42.365
2019-12-19,ACGL,42.36,42.205,42.205
2019-12-20,ACGL,42.39,42.74,42.74
2019-12-23,ACGL,42.77,42.395,42.395
2019-12-24,ACGL,42.07,42.13,42.13
2019-12-26,ACGL,41.92,42.11,42.11
2019-12-27,ACGL,42.16,42.27,42.27
2019-12-30,ACGL,42.56,42.65,42.65
2019-12-31,ACGL,42.72,42.91,42.91
2019-12-02,ACGLO,25.62,25.53,25.53
2019-12-03,ACGLO,25.45,25.49,25.49
2019-12-04,ACGLO,25.63,25.48,25.48
2019-12-05,ACGLO,25.51,25.45,25.45
2019-12-06,ACGLO,25.45,25.375,25.375
2019-12-09,ACGLO,25.55,25.5996,25.5996
2019-12-10,ACGLO,25.55,25.56,25.56
2019-12-11,ACGLO,25.52,25.53,25.53
2019-12-12,ACGLO,25.45,25.3,25.3
2019-12-13,ACGLO,25.32,25.34,25.34
2019-12-16,ACGLO,25.75,25.7413,25.7413
2019-12-17,ACGLO,25.84,25.67,25.67
2019-12-18,ACGLO,25.92,25.9129,25.9129
2019-12-19,ACGLO,26,25.9249,25.9249
2019-12-20,ACGLO,25.96,25.85,25.85
2019-12-23,ACGLO,25.95,25.95,25.95
2019-12-24,ACGLO,25.96,25.9071,25.9071
2019-12-26,ACGLO,25.95,25.9,25.9
2019-12-27,ACGLO,25.95,25.95,25.95
2019-12-30,ACGLO,25.94,25.8155,25.8155
2019-12-31,ACGLO,25.92,25.84,25.84
2019-12-02,ACGLP,24.9,25,25
2019-12-03,ACGLP,24.95,25.02,25.02
2019-12-04,ACGLP,25.1,25.1231,25.1231
2019-12-05,ACGLP,25.1,25.125,25.125
2019-12-06,ACGLP,25.18,25.1516,25.1516
2019-12-09,ACGLP,25.17,25.2,25.2
2019-12-10,ACGLP,25.23,25.18,25.18
2019-12-11,ACGLP,25.19,25.22,25.22
2019-12-12,ACGLP,25.02,25.1,25.1
2019-12-13,ACGLP,25.23,25.1699,25.1699
2019-12-16,ACGLP,25.24,25.28,25.28
2019-12-17,ACGLP,25.3,25.35,25.35
2019-12-18,ACGLP,25.35,25.45,25.45
2019-12-19,ACGLP,25.5,25.46,25.46
2019-12-20,ACGLP,25.4,25.41,25.41
2019-12-23,ACGLP,25.41,25.5,25.5
2019-12-24,ACGLP,25.4,25.464,25.464
2019-12-26,ACGLP,25.4,25.44,25.44
2019-12-27,ACGLP,25.37,25.4,25.4
2019-12-30,ACGLP,25.34,25.3227,25.3227
2019-12-31,ACGLP,25.34,25.38,25.38
2019-12-02,ACHC,32.09,32.185,32.185
2019-12-03,ACHC,31.65,31.75,31.75
2019-12-04,ACHC,32.1,32.015,32.015
2019-12-05,ACHC,31.98,32.03,32.03
2019-12-06,ACHC,32.32,32.24,32.24
2019-12-09,ACHC,32.46,32.22,32.22
2019-12-10,ACHC,32.03,31.99,31.99
2019-12-11,ACHC,31.83,31.745,31.745
2019-12-12,ACHC,31.56,32.03,32.03
2019-12-13,ACHC,32.32,32.16,32.16
2019-12-16,ACHC,32.17,32.76,32.76
2019-12-17,ACHC,32.44,32.66,32.66
2019-12-18,ACHC,33.08,32.96,32.96
2019-12-19,ACHC,33.46,33.525,33.525
2019-12-20,ACHC,33.33,33.28,33.28
2019-12-23,ACHC,33.14,33.16,33.16
2019-12-24,ACHC,33.21,32.94,32.94
2019-12-26,ACHC,33,33.19,33.19
2019-12-27,ACHC,32.92,32.98,32.98
2019-12-30,ACHC,33.08,33,33
2019-12-31,ACHC,33.01,33.08,33.08
2019-12-02,ACHV,0.91,0.864201,0.864201
2019-12-03,ACHV,0.8893,0.8598,0.8598
2019-12-04,ACHV,0.9195,0.91,0.91
2019-12-05,ACHV,0.9115,0.9195,0.9195
2019-12-06,ACHV,0.9553,0.92,0.92
2019-12-09,ACHV,0.9555,1.08,1.08
2019-12-10,ACHV,1.03,0.898,0.898
2019-12-11,ACHV,0.85,0.8401,0.8401
2019-12-12,ACHV,0.8411,0.84,0.84
2019-12-13,ACHV,0.72,0.76,0.76
2019-12-16,ACHV,0.87,0.8085,0.8085
2019-12-17,ACHV,0.83,1.119,1.119
2019-12-18,ACHV,0.5099,0.56,0.56
2019-12-19,ACHV,0.522,0.5105,0.5105
2019-12-20,ACHV,0.5032,0.48514,0.48514
2019-12-23,ACHV,0.51,0.495,0.495
2019-12-24,ACHV,0.5,0.4924,0.4924
2019-12-26,ACHV,0.5046,0.5251,0.5251
2019-12-27,ACHV,0.535,0.52,0.52
2019-12-30,ACHV,0.57,0.5235,0.5235
2019-12-31,ACHV,0.51,0.52,0.52
